17/11/2023 16:07:17,Santiago,Talca ; Chile,City bus / Intercity coach,Same as I came!,
22/11/2023 14:51:03,Lyon,Paris ; France,Train,Same as I came!,Thank you for this wonderful experience!
10/01/2024 17:19:45,Frankfurt am Main,Frankfurt am Main ; Germany,Muscule-powered,Bike,
10/01/2024 17:20:05,Gent,Madrid ; Spain,Plane,Plane,I also attended the Lyon Garden by plane
10/01/2024 17:20:20,Montréal,Montréal ; Canada,City bus / Intercity coach,Same as I came!,
10/01/2024 17:20:36,Frankfurt am Main,Frankfurt am Main ; Germany,City bus / Intercity coach,Same as I came!,
10/01/2024 17:20:43,Münster,Münster ; Germany,Muscule-powered,Bike,
10/01/2024 17:21:04,San Sebastian,Madrid ; Spain,Car,Train,The way there was car sharing. 
10/01/2024 17:21:11,Dundee,Glasgow ; UK,Train,Same as I came!,
10/01/2024 17:21:11,Lyon,Paris ; France,Train,Same as I came!,
10/01/2024 17:21:22,London,London ; UK,Train,Same as I came!,
10/01/2024 17:21:31,Genova,Verona ; Italy,Train,Same as I came!,
10/01/2024 17:22:00,Gent,Dendermonde ; Belgium,Train,Same as I came!,
10/01/2024 17:23:00,Gent,Utrecht ; Netherlands,Train,Train,
10/01/2024 17:23:04,Genova,Padova ; Italy,Train,Same as I came!,
10/01/2024 17:23:11,San Sebastian,San Sebastian ; Spain,City bus / Intercity coach,Same as I came!,
10/01/2024 17:24:50,San Sebastian,San Sebastian ; Spain,City bus / Intercity coach,City bus,
10/01/2024 17:24:51,Caen,Bruxelles ; BELGIUM,Train,Train,"I went there because there was another event (society meeting were I had to present my research), so I did not travel there specifically for cutting gardens"
10/01/2024 17:25:50,Montréal,Boston ; USA,Car,Car,I car pooled with two other attendees from Boston.
10/01/2024 17:26:06,Frankfurt am Main,Leipzig ; Germany,Train,Same as I came!,
10/01/2024 17:27:24,I only attended online,,I attended online,I attended online,
10/01/2024 17:27:50,Dundee,Glasgow ; Scotland,City bus / Intercity coach,Intercity coach,
10/01/2024 17:27:54,Bournemouth,Birmingham ; UK,Train,Same as I came!,
10/01/2024 17:28:39,Regensburg,Munich ; Germany,Train,Train,
10/01/2024 17:28:49,Lyon,Dusseldorf ; Germany,Train,Train,
10/01/2024 17:28:50,Lyon,Paris ; France,Train,Same as I came!,
10/01/2024 17:29:07,Gent,Antwerp ; Belgium,Train,Same as I came!,
10/01/2024 17:30:03,San Sebastian,San Sebastian ; Spain,Other,Other,"Sometimes I came and left by bike, sometimes I came by bus or left walking or by bus."
10/01/2024 17:30:58,Genova,Brescia ; Italy,Train,Train,
10/01/2024 17:39:51,Santiago,Santiago ; Chile,City bus / Intercity coach,Same as I came!,no
10/01/2024 17:39:55,San Sebastian,San Sebastian ; Spain,City bus / Intercity coach,City bus,
10/01/2024 17:42:53,San Sebastian,Madrid ; Spain,Plane,Same as I came!,
10/01/2024 17:43:12,Lyon,Tours ; France,Train,Train,
10/01/2024 17:44:36,Frankfurt am Main,Tübingen ; Germany,Car,Same as I came!,
10/01/2024 17:46:33,Gent,Leuven ; Belgium,Train,Train,
10/01/2024 17:49:49,San Sebastian,San Sebastian ; Spain,City bus / Intercity coach,Same as I came!,
10/01/2024 17:50:26,Lyon,Lyon ; France,Muscule-powered,Bike,
10/01/2024 17:54:17,Los Angeles,Los Angeles ; USA,Car,Same as I came!,I was using my car first day and using the subway second day.
10/01/2024 18:00:58,Oro Verde,Oro Verde ; Argentina,Muscule-powered,Same as I came!,
10/01/2024 18:05:12,San Sebastian,Granada ; Spain,Plane,Plane,
10/01/2024 18:37:24,San Sebastian,Barcelona ; Spain,Plane,Train,
10/01/2024 18:48:25,Los Angeles,Los Angeles ; USA,Car,Car,
10/01/2024 18:48:43,Gent,Ghent ; Belgium,City bus / Intercity coach,City bus,
10/01/2024 19:33:00,Caen,Caen ; France,Muscule-powered,Bike,
10/01/2024 20:12:28,Gent,Leuven ; Belgium,Train,Train,
10/01/2024 20:58:28,Frankfurt am Main,Heppenheim ; Germany,Train,Train,
10/01/2024 21:36:35,Montréal,Bois-des-filion ; Canada,Other,Same as I came!,"Mix of car, bus and metro, and I attended to about half of the talks online from home. "
10/01/2024 22:17:56,Oro Verde,Paraná ; Argentina ,City bus / Intercity coach,City bus,
10/01/2024 22:38:04,Gent,Ghent ; Belgium,Muscule-powered,Feet,
10/01/2024 23:20:25,San Sebastian,San Sebastian ; Spain,Car,Car,
11/01/2024 02:53:07,Santiago,Santiago ; Chile,City bus / Intercity coach,City bus,
11/01/2024 03:37:26,Frankfurt am Main,Giessen ; Germany ,Regional train,Regional train,Thanks for organising this wonderful event.
11/01/2024 08:20:40,Gent,Vilnius ; Lithuania,Plane,Plane,
11/01/2024 08:36:43,Lyon,Paris ; France,Train,Same as I came!,
11/01/2024 08:57:23,Frankfurt am Main,Frankfurt ; Germany,Regional train,Same as I came!,
11/01/2024 09:20:13,Gent,Leipzig ; Germany,Train,Train,
11/01/2024 09:47:29,Frankfurt am Main,Mannheim ; Germany,Train,Train,
11/01/2024 09:49:38,Frankfurt am Main,Frankfurt ; Germany,Muscule-powered,Same as I came!,
11/01/2024 09:52:49,Frankfurt am Main,Berlin ; Germany,Train,Train,
11/01/2024 09:56:43,Frankfurt am Main,Berlin ; Germany,Train,Train,
11/01/2024 10:22:26,Frankfurt am Main,Stuttgart ; Germany,Train,Same as I came!,
11/01/2024 10:26:22,San Sebastian,Granada ; Spain,Plane,Same as I came!,
11/01/2024 10:43:52,Lyon,Marseille ; France,Train,Train,
11/01/2024 10:51:17,Frankfurt am Main,Mannheim ; Germany,Train,Same as I came!,
11/01/2024 10:59:10,San Sebastian,San Sebasitan ; Spain,City bus / Intercity coach,City bus,
